direction,alpha,DMP,s-MRTS
"[1, 0]",0.0,[11.51215  0.     ],
"[0.9, 0.1]",0.0,[8.6255  1.16512],-2.47755
"[0.8, 0.2]",0.0,[6.56713 1.99593],-2.47755
"[0.7, 0.3]",0.0,[5.02527 2.61826],-2.47755
"[0.6, 0.4]",0.0,[3.82719 3.10184],-2.47755
"[0.5, 0.5]",0.0,[2.86944 3.48841],-2.47755
"[0.4, 0.6]",0.0,[2.26027 4.12174],-0.96186
"[0.3, 0.7]",0.0,[1.45748 4.13438],-63.53212
"[0.2, 0.8]",0.0,[0.85216 4.14391],-63.53212
"[0.1, 0.9]",0.0,[0.37942 4.15135],-63.53212
"[0, 1]",0.0,[0.      4.15732],-63.53212
